collector,specimen_ID,genus,species,order,sex,mass (g),day,date_ISO,time,timezone,country,departament,municipio,locality,longitude,latitude,elevation,ectoparasite_sample,ectoparsite_ sampling_method,ecotparasite_box_location_ cold_storage,ectoparasites_box,lice_total,feather_mites_total,ticks_total,flies_total,fleas_total
GAL,A2574,Mionectes,olivaceus,Passeriformes,M,31.03,Thu,2015-4-23,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.078,5.223055556,1600,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2577,Dysithamnus,mentalis,Passeriformes,F,30.71,Thu,2015-4-23,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.078,5.223055556,1600,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2598,Basileuterus,tristiatus,Passeriformes,U,25.56,Fri,2015-4-10,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.09191667,5.23225,1400,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2602,Haplospiza,rustica,Passeriformes,U,34.41,Wed,2015-5-6,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.07927778,5.219972222,1500,YES,powder,Universidad Icesi,"E3,59: E3,60",2.0,over 10,0,0,0
GAL,A2604,Sporophila,funerea,Passeriformes,F,24.44,Wed,2015-5-6,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.07927778,5.219972222,1500,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2610,Catamblyrhynchus,diadema,Passeriformes,U,38.13,Thu,2015-5-14,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.11211111,5.256888889,2400,YES,powder,Universidad Icesi,"E3,65",0.0,0.0,0,0,0
GAL,A2611,Myioborus,ornatus,Passeriformes,U,,Sat,2015-5-16,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.11355556,5.256194444,2500,YES,powder,Universidad Icesi,"E3,69",0.0,over 10,0,0,0
GAL,A2612,Diglossa,albilatera,Passeriformes,F,20.71,Sat,2015-5-16,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.11355556,5.256194444,2500,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2620,Ochthoeca,diadema,Passeriformes,U,20.52,Tue,2015-5-19,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.11355556,5.256194444,2500,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2621,Diglossa,albilatera,Passeriformes,M,22.41,Wed,2015-5-20,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.11013889,5.257611111,2300,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
GAL,A2622,Henicorhina,sp.,Passeriformes,U,29.95,Wed,2015-5-20,00:00:00,PDT,Colombia,Risaralda,PuebloRico,Tatama,-76.11013889,5.257611111,2300,YES,powder,Universidad Icesi,NA,0.0,0.0,0,0,0
